name~canonicalURL~pictureURL~categoryIndex
Wood Crate~https://www.amazon.ca/HOUSEWORKS-67140-Lx12-5-Wx9-5-Pallet/dp/B01N8R92A1~https://m.media-amazon.com/images/I/81NKzEV0+2L.jpg~4
Adidas Shoes~https://www.amazon.ca/adidas-Womens-Runfalcon-Running-Shoes/dp/B0CKS1V9ZR?th=1&psc=1~https://m.media-amazon.com/images/I/61+-YGnSGoL._AC_SY500_.jpg~1
Casio Watch~https://www.casio.com/ca-en/watches/casio/product.AE-1200WH-1AV/~https://m.media-amazon.com/images/I/61Xm9WEMuEL._AC_SX679_.jpg~1
iPhone 12~https://www.amazon.ca/Apple-iPhone-12-128GB-White/dp/B09JFZY15K~https://m.media-amazon.com/images/I/41WsaMyJAqL._AC_SY300_SX300_QL70_ML2_.jpg~2
Lenovo Laptop~https://www.refurbit.com/products/lenovo-thinkpad-t480-14-laptop-intel-core-i5-16gb-ram-256gb-ssd-win11-pro-renewed~https://m.media-amazon.com/images/I/61v6QV8AQPL._AC_SX425_.jpg~2
Tire Pressure Gauge~https://www.amazon.ca/Milton-S921-Dial-Tire-Gauge/dp/B0002SQYTG~https://m.media-amazon.com/images/I/51bP-YUVVCL._AC_SY300_SX300_QL70_FMwebp_.jpg~0
Ray-Ban Meta Glasses~https://www.amazon.ca/Ray-Ban-Meta-Wayfarer-Standard-Polarized/dp/B0CGXYVQ1P?th=1~https://m.media-amazon.com/images/I/51aLztXp3HL._SX342_.jpg~2
Jack Links Beef Jerky~https://www.amazon.ca/Jack-Links-Teriyaki-Beef-Jerky/dp/B0BNDFQ3BW~https://m.media-amazon.com/images/I/91CItpmMIhL._SY445_.jpg~3
Coca Cola~https://www.amazon.ca/Coca-Cola-Coke-Classic-335mL-cans/dp/B0771HVVZZ?th=1~https://m.media-amazon.com/images/I/814XdwTdknL._SL1500_.jpg~3
Star Wars Battlefront II~https://www.amazon.ca/Star-Wars-Battlefront-II-Classic/dp/B000AAL4HI?th=1~https://m.media-amazon.com/images/I/71LYhFI34QL._SX342_.jpg~5
Colgate Toothpaste~https://www.colgate.com/en-us/products/toothpaste/ct-whitening-sensitive-teeth-relief~https://m.media-amazon.com/images/I/41iKAcjSLbL._SY300_SX300_QL70_FMwebp_.jpg~6
